"No","ChineseTitle","DAIRShortTitle","File","OfficialTitle","Arxiv","Bytes","Prefix","Url"
"178","自我改进智能体综述","Self-Improving Agents Survey","178 - Self-Improvements in Modern Agentic Systems - A Survey.pdf","Self-Improvements in Modern Agentic Systems: A Survey","2607.13104","5331472","%PDF-","https://arxiv.org/pdf/2607.13104"
"179","LLM 中的元认知","Metacognition in LLMs","179 - Metacognition in LLMs - Foundations, Progress, and Opportunities.pdf","Metacognition in LLMs: Foundations, Progress, and Opportunities","2607.11881","1153129","%PDF-","https://arxiv.org/pdf/2607.11881"
"180","路由何时才有意义","When Is Routing Meaningful","180 - When is Routing Meaningful - Diversity and Robustness in Language Model Societies.pdf","When is Routing Meaningful? Diversity and Robustness in Language Model Societies","2607.09197","364679","%PDF-","https://arxiv.org/pdf/2607.09197"
"181","重新审视智能体运行框架演化","Harness Evolution Rethought","181 - Rethinking the Evaluation of Harness Evolution for Agents.pdf","Rethinking the Evaluation of Harness Evolution for Agents","2607.12227","306388","%PDF-","https://arxiv.org/pdf/2607.12227"
"182","追踪智能体失败","Tracing Agentic Failure","182 - Tracing Agentic Failure from the Flow of Success.pdf","Tracing Agentic Failure from the Flow of Success","2607.12747","2962868","%PDF-","https://arxiv.org/pdf/2607.12747"
"183","将失败视为过程","Failure as a Process","183 - Failure as a Process - An Anatomy of CLI Coding Agent Trajectories.pdf","Failure as a Process: An Anatomy of CLI Coding Agent Trajectories","2607.09510","921191","%PDF-","https://arxiv.org/pdf/2607.09510"
"184","LingBot-World 2.0","LingBot-World 2.0","184 - Infinite Worlds with Versatile Interactions.pdf","Infinite Worlds with Versatile Interactions","2607.07534","33920199","%PDF-","https://arxiv.org/pdf/2607.07534"
"185","过滤式破坏监控","Filtered Sabotage Monitoring","185 - How does information access affect LLM monitors ability to detect sabotage.pdf","How does information access affect LLM monitors ability to detect sabotage?","2601.21112","2917325","%PDF-","https://arxiv.org/pdf/2601.21112"
"186","GFlowRL","GFlowRL","186 - GFlowRL - Scaling Distribution-Matching RL to Large Language Models.pdf","GFlowRL: Scaling Distribution-Matching RL to Large Language Models","2607.13394","1462161","%PDF-","https://arxiv.org/pdf/2607.13394"
"187","LingBot-VLA 2.0","LingBot-VLA 2.0","187 - From Foundation to Application - Improving VLA Models in Practice.pdf","From Foundation to Application: Improving VLA Models in Practice","2607.06403","8211422","%PDF-","https://arxiv.org/pdf/2607.06403"
