"No","File","OfficialTitle","Bytes","Prefix","Source","Url"
"158","158 - The Red Queen Gödel Machine - Co-Evolving Agents and Their Evaluators.pdf","The Red Queen Gödel Machine: Co-Evolving Agents and Their Evaluators","1409257","%PDF-","arXiv:2606.26294","https://arxiv.org/pdf/2606.26294"
"159","159 - MCP Server Architecture Patterns for LLM-Integrated Applications.pdf","MCP Server Architecture Patterns for LLM-Integrated Applications","378053","%PDF-","arXiv:2606.30317","https://arxiv.org/pdf/2606.30317"
"160","160 - The Verification Horizon - No Silver Bullet for Coding Agent Rewards.pdf","The Verification Horizon: No Silver Bullet for Coding Agent Rewards","4697953","%PDF-","arXiv:2606.26300","https://arxiv.org/pdf/2606.26300"
"161","161 - Towards Automating Scientific Review with Google's Paper Assistant Tool.pdf","Towards Automating Scientific Review with Google's Paper Assistant Tool","588534","%PDF-","arXiv:2606.28277","https://arxiv.org/pdf/2606.28277"
"162","162 - Generative Skill Composition for LLM Agents.pdf","Generative Skill Composition for LLM Agents","1074946","%PDF-","arXiv:2606.32025","https://arxiv.org/pdf/2606.32025"
"163","163 - AutoMem - Automated Learning of Memory as a Cognitive Skill.pdf","AutoMem: Automated Learning of Memory as a Cognitive Skill","2613199","%PDF-","arXiv:2607.01224","https://arxiv.org/pdf/2607.01224"
"164","164 - Reinforcement Learning with Metacognitive Feedback Elicits Faithful Uncertainty Expression in LLMs.pdf","Reinforcement Learning with Metacognitive Feedback Elicits Faithful Uncertainty Expression in LLMs","3608809","%PDF-","arXiv:2606.32032","https://arxiv.org/pdf/2606.32032"
"165","165 - ASPIRE - Agentic Skills Discovery for Robotics.pdf","ASPIRE: Agentic /Skills Discovery for Robotics","5769112","%PDF-","arXiv:2607.00272","https://arxiv.org/pdf/2607.00272"
"166","166 - Agentic Hardware Design as Repository-Level Code Evolution.pdf","Agentic Hardware Design as Repository-Level Code Evolution","595265","%PDF-","arXiv:2606.28279","https://arxiv.org/pdf/2606.28279"
"167","167 - Reasoning Quality Emerges Early - Data Curation for Reasoning Models.pdf","Reasoning Quality Emerges Early: Data Curation for Reasoning Models","2891086","%PDF-","arXiv:2606.26797","https://arxiv.org/pdf/2606.26797"
