"No","Company","File","SourceType","Bytes","Prefix","Url","AuditNote"
"142","DeepSeek","142 - DSpark - Confidence-Scheduled Speculative Decoding with Semi-Autoregressive Generation.pdf","Official GitHub PDF","722827","%PDF-","https://raw.githubusercontent.com/deepseek-ai/DeepSpec/main/DSpark_paper.pdf","补上此前遗漏的 DeepSeek DeepSpec/DSpark 官方论文。"
"143","GLM/Z.ai","143 - GLM-5.2 - Built for Long-Horizon Tasks.pdf","Printed official page","7081882","%PDF-","https://z.ai/blog/glm-5.2","补上此前遗漏的 GLM-5.2 官方发布页；未发现稳定独立 PDF，保存为页面 PDF。"
"144","ByteDance Seed","144 - Seed2.1 Model Card - Agentic Intelligence for Productivity.pdf","Official PDF","69309914","%PDF-","https://lf3-static.bytednsdoc.com/obj/eden-cn/lapzild-tss/ljhwZthlaukjlkulzlp/seed2.1/Seed2_1_Model_Card.pdf","补上 Seed2.1 官方 Model Card PDF。"
"145","ByteDance Seed","145 - Seedance 2.0 - ByteDance Seed Official Model Page.pdf","Printed official page","952673","%PDF-","https://seed.bytedance.com/en/seedance2_0","补上 ByteDance Seed 当前模型页；未发现稳定独立 PDF，保存为页面 PDF。"
"146","ByteDance Seed","146 - Seedream 5.0 Lite - ByteDance Seed Official Model Page.pdf","Printed official page","3522028","%PDF-","https://seed.bytedance.com/en/seedream5_0_lite","补上 ByteDance Seed 当前模型页；未发现稳定独立 PDF，保存为页面 PDF。"
"147","ByteDance Seed","147 - Seeduplex - ByteDance Seed Official Model Page.pdf","Printed official page","6982713","%PDF-","https://seed.bytedance.com/en/seeduplex","补上 ByteDance Seed 当前模型页；未发现稳定独立 PDF，保存为页面 PDF。"
"148","ByteDance Seed","148 - Seed GR-RL - ByteDance Seed Official Model Page.pdf","Printed official page","6471483","%PDF-","https://seed.bytedance.com/en/gr_rl","补上 ByteDance Seed 当前模型页；未发现稳定独立 PDF，保存为页面 PDF。"
"149","Tencent Hunyuan","149 - HunyuanImage 3.0 Technical Report.pdf","arXiv PDF","17560429","%PDF-","https://arxiv.org/pdf/2509.23951","补上此前遗漏的 HunyuanImage 3.0 技术报告。"
"150","Tencent Hunyuan","150 - HY-World 2.0 - A Multi-Modal World Model for Reconstructing, Generating, and Simulating 3D Worlds.pdf","Official PDF","34220665","%PDF-","https://3d-models.hunyuan.tencent.com/world/world2_0/HY_World_2_0.pdf","补上此前遗漏的 HY-World 2.0 官方 PDF。"
"151","Tencent Hunyuan","151 - HunyuanOCR Technical Report.pdf","Official GitHub PDF","35439521","%PDF-","https://raw.githubusercontent.com/Tencent-Hunyuan/HunyuanOCR/main/HunyuanOCR_Technical_Report.pdf","补上此前遗漏的 HunyuanOCR 技术报告。"
"152","Anthropic","152 - Project Fetch - Phase two.pdf","Printed official page","8045429","%PDF-","https://www.anthropic.com/research/project-fetch-phase-two","补上 Anthropic 官方最新研究页；未发现稳定独立 PDF，保存为页面 PDF。"
"153","Anthropic","153 - Paving the way for agents in biology.pdf","Printed official page","3428309","%PDF-","https://www.anthropic.com/research/agents-in-biology","补上 Anthropic 官方最新研究页；未发现稳定独立 PDF，保存为页面 PDF。"
"154","Anthropic","154 - Measuring LLMs impact on N-day exploits.pdf","Printed official page","2559977","%PDF-","https://www.anthropic.com/research/n-days","补上 Anthropic 官方最新研究页；未发现稳定独立 PDF，保存为页面 PDF。"
"155","Google DeepMind","155 - Gemini 3.5 Flash Model Card.pdf","Official PDF","556751","%PDF-","https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-5-Flash-Model-Card.pdf","补上 Gemini 3.5 Flash 官方 Model Card PDF。"
"156","Google DeepMind","156 - Gemini 3.5 Flash Evaluation Methodology.pdf","Official PDF","418612","%PDF-","https://storage.googleapis.com/deepmind-media/gemini/gemini_3-5_flash_model_evaluation.pdf","补上 Gemini 3.5 Flash 官方评测方法 PDF。"
"157","Google DeepMind","157 - Gemma 4 model card.pdf","Printed official page","1375488","%PDF-","https://ai.google.dev/gemma/docs/core/model_card_4","补上 Gemma 4 官方 model card；未发现稳定独立 PDF，保存为页面 PDF。"
